Group,Functions
Non-Meaningful,"2e7263ea, a1fe0e8d, 1913f161, 186dea44, 721a92f9, 0eca322b, e6170424, 1e6473f9, d09db04a, 40e95de6, fa0c2149, 8a5dadd1, bd76ecfd, aac673c3, 2bbd3aa8, 03ddf252, 6c648fca, cf329d16, bc2b405c, bf697a26, e7a4db81, a5397b22, 98414eed, e9252d46, 40370edf, 4c60db9c, 3e31ab8e, ca7dab2c, f127baa1, 947caa4e, ba381f8f, 7a6847d1, ae000659, 6c99d7c8, 38756e3c, b8af22db, 4af74b68, 92a6d507, 9f08e497, 72c4cff6, 207b432a, 04b473bd, 2303480f, 07093814, 41b91c26, 70703e4a, c730c160, 919722bb, 001a5597, b18f2e91, 9d241e7a, f837df25, 3b30f9c4, f41d7a18, d9da0a70, 307a4a0d, 3dac9377, 0a8fe064, 5ed8a991, ee999638, bf699b4b, fd5a466f, 5d9635d2, 369baafe, b7da6a49, 11834d4c, 01a1121f, 44fd3db0, 445cc62b, b2bd16ab, b425b13c, 9239127f, 5ffe72b7, faf5c6ed, 6cb4024b, 41d11324, e31ec2a3, 12cc89d9, 8434b2dd, 1ef29a02, aeb5957d, e6a24c3f, 73ceb48d, f10a60ab, 2e6a5609, b750dc46, 24394467, 6eeb9e0f, 4baac078, c131f417, 5f90d725, 4a75084c, b5863c10, 925d400c, df9a33b7, d4d30063, 46ded4d1, 45589883, 4729ed3c, 486c9662, fca27b35, 2c19d593, 0e0824a3, 342bc29e, 78d5b517, dafa54c6, b3608630, b4d9b601, db05ef8b, 22ca645a, 2140ab88, bb99f7ce, 781aa653, 9ca89d1c, d9574d4c, 1f6b08a4, f6ebebbb, 7ca06d68, cae618f5, e9ccf3a3, 5632b2e4, 6465706f, 5fa297e5, c53db2f8, 7cd0599b, 6e41592c, 0080247a, ccc4fbc7, 78c1a778, 090f88ca, 86e809fc, 5fc985ea, 5ebde635, 00000000, 4e290832, 8ba14562, 33688938, d547557b, 6811e3b9, 7b4323de, 6ffe492e, e61c18d0, 47c7357b, 90fb9dca, 539e90f8, 004b2cc0, e7d25975, 4abe11b4, 7c6531e1, 006de4df, 95629036, c3637897, 3e16468d, ac826482, 3ec463bf, 847d282d"
Unique test,"testDOSAttack, delegateStake, delegateStakeFor, test_Timelock, testBurn, testApprove, testsafeTransfer, testPoC_A, generateSteam, test_poc, testTransfer, updateStrategy, testPoCReplicate, getExchangeRateStateful, test_attack, updateStateOnRepay, testUnstake, testExploit_MARS, testTransaction, testAttackTx1, migrateStake, testexploit, testExploit1, testSkim"
Unique add,"setServiceProviderFactoryAddress, addMultiple, addAsset, addBorrow, ecAdd, handleBadDebt, safeAdd, add, mintAddressLock, addTotalCash, addVaultAddress, addBNB, addLiq, addProposal, addresses, addMinter, addGems"
Unique transfer,"transferTELFromCloneableProxy, transferBBOX, transferUSDT, transfer_all, delegateTransfer, beforeTransferHandler, afterTransferHandler, unsafeTransfer, transferIn, onAfterTransfer, transferToReserve, safeAutoTransferFrom, beforeTransfer, flywheelPreTransferAction, transferNotify, batchTransfer"
Unique withdraw,"withdrawReturnAmountByReferral, withdrawReturnAmountByMerchant, withdrawReturnAmountByConsumer, shouldHarvestOnWithdraw, finalizeERC20Withdrawal, withdrawTeam, withdrawLp, withdrawExactShares, processWithdrawal, takerWithdraw, instantWithdraw, forceWithdraw, withdrawFromOtherAsset, withdrawMarket, withdrawERC721, withdrawERC20For, Withdraw, withdrawFrom, withdrawPLX, withdrawSelfApeCoin, withdrawToManager, withdrawSPORE, beforeWithdraw, withdrawChange, withdrawBAYC, withdrawApeCoin, migrateWithdraw, withdrawMoney"
Unique stake,"stakeNft, unstakeNft, lockStake, requestReleaseStake, stakeLP, unstakeForAccount, stakeForAccount, Stake, stakeToken, unStake, stakeIndex, depositStake, depositAndBorrowApeAndStake, stakeLp"
Unique swap,"swapExactJarForJar, closeSwapIntent, isSwap, swapExactPtForSy, createSwapIntent, uniswapV2Router, swapTo, uniswapV2Pair, batchSwap, postSwap, swapManual, swapExactInputSingle, swapAVAXForExactTokens, swapAndDeposit, swapOnWithdrawal, swapTokens, sellSwappedTokens, swapETHForExactTokens, swapTokensForTokens, tokenToEthSwapInput, ethToTokenSwapInput, swapExactTokenInput, swapETH, balancerSwap, swapQuoteTokenForBaseToken, swapExactAmountOut, swapExactTokensForBNB, swapBNBForExactTokens, swapNATIVEForExactTokens, swapExactTokensForNATIVE, simpleSwap, _swap, swapTokensForOther, doSwapThroughOrionPool, swapThroughOrionPool, swapExactTokenForToken, swapTokenForExactToken, exactInputV3Swap, swapUnderlying, setSwapPairs, swapToAddress, swapAndCrossOneInch, sellToUniswap, Swapin, swapToVUsd, swapExactTokensForTokensSimple, selfSwap, swapFromVUsd, emitSwap, joinswapExternAmountIn, swapXSDForETH, swapETHForBankX, swapStETH"
Unique get,"deleverageToMin, getUserStaking, get_reward, Loan_Get, _getMintPaused, getInvestedValue, getAllValue, getReserves, getStaticIncome, getAmountOut, getEntireSystemBalances, decayBaseRateAndGetBorrowingFee, getMetadata, getVoteCount, getOrderBorrowBalanceCurrent, getAccruedRewards, targetedPurchase, getCash, getBalance, _getPoolBalance, getBorrowRate, getAccountLiquidity, getSupplyRate, swapAndStartBridgeTokensViaCBridge, getCurrentCompoundingLevel, getAndUpdateLockedAmount, getInviter, getAggregatorData, getVoteTallyByAddress, getRandoms, getDay, getSlippageAccountedAmount"
Unique balance,"balanceOfUnderlying, balance, lockedBalanceOf, batchBalanceAction, notifyBalanceUpdate, rebalance, manageUserBalance, updateMinimumBalance, setMinimumBalance, updateUserBalance"
Unique token,"unFreezeToken, approveToken, listToken, zapInToken, tokenAllowAll, ensureLocalToken, addLiquiditySingleTokenKeepYt, removeLiquiditySingleToken, afterReceiptTokenTransfer, beforeReceiptTokenTransfer, sweepToken, resourceIDToTokenContractAddress, Lock_Token, autoBurnLiquidityPairTokens, generateTokens, destroyTokens, transferTokens, depositToken, withdrawToken, batchTransferLockToken, transferLockToken, transferTokenId, pureUsdtToToken, setToken, batchTokenTransfer, safeTransferERC20Token, token0, depositTokens, tokenA, addToken, withdrawTokensWithAlt, sweepTokenForMarketing, WithdrawToken, batchToken, reindexTokens, _QUOTE_TOKEN_, unlockToken, simpleToken, enterMarketFromiToken, tokenAirdrop"
